family_old_with_errors,family,genus,taxon,species,name_matched,accepted_name,Taxonomic_status,limit.s,limit.n,lat.mid,lat.ext,trop.frac,temp.frac,tropicality
acanthaceae,acanthaceae,justicia,justicia_californica,californica,justicia_californica,justicia_californica,Accepted,24,34,29,10,0,-1,-1
acanthaceae,acanthaceae,justicia,justicia_sonorae,sonorae,justicia_sonorae,justicia_sonorae,Accepted,29.4,30.3,29.8,0.9,0,-1,-1
acanthaceae,acanthaceae,justicia,justicia_warnockii,warnockii,justicia_warnockii,justicia_warnockii,Accepted,28.7,31.3,30,2.7,0,-1,-1
acanthaceae,acanthaceae,justicia,justicia_wrightii,wrightii,justicia_wrightii,justicia_wrightii,Accepted,29.5,30.7,30.1,1.2,0,-1,-1
acanthaceae,acanthaceae,ruellia,ruellia_metzae,metzae,ruellia_metziae,ruellia_metziae,Accepted,26.3,34.1,30.2,7.7,0,-1,-1
acanthaceae,acanthaceae,ruellia,ruellia_metziae,metziae,ruellia_metziae,ruellia_metziae,Accepted,29.4,31.2,30.3,1.8,0,-1,-1
acanthaceae,acanthaceae,justicia,justicia_ovata,ovata,justicia_ovata,justicia_ovata,Accepted,28.2,32.8,30.5,4.5,0,-1,-1
acanthaceae,acanthaceae,justicia,justicia_longii,longii,justicia_longii,justicia_longii,Accepted,29.4,33.8,31.6,4.5,0,-1,-1
acanthaceae,acanthaceae,justicia,justicia_angusta,angusta,justicia_angusta,justicia_angusta,Accepted,28.1,36.7,32.4,8.6,0,-1,-1
acanthaceae,acanthaceae,ruellia,ruellia_pedunculata,pedunculata,ruellia_pedunculata,ruellia_pedunculata,Accepted,30.1,34.8,32.4,4.7,0,-1,-1
